,Date,Time,No. of Transactions
490,2019-01-16,17:15:00,36
491,2019-01-16,17:30:00,31
492,2019-01-16,17:45:00,28
493,2019-01-16,18:00:00,16
494,2019-01-16,18:15:00,19
495,2019-01-16,18:30:00,15
496,2019-01-16,18:45:00,9
497,2019-01-16,19:00:00,9
498,2019-01-16,19:15:00,14
499,2019-01-16,19:30:00,12
500,2019-01-16,19:45:00,4
501,2019-01-16,20:00:00,7
502,2019-01-16,20:15:00,2
503,2019-01-16,20:45:00,2
504,2019-01-17,06:15:00,1
505,2019-01-17,06:30:00,3
506,2019-01-17,07:00:00,9
507,2019-01-17,07:15:00,7
508,2019-01-17,07:30:00,12
509,2019-01-17,07:45:00,11
510,2019-01-17,08:00:00,38
511,2019-01-17,08:15:00,31
512,2019-01-17,08:30:00,18
513,2019-01-17,08:45:00,28
514,2019-01-17,09:00:00,26
515,2019-01-17,09:15:00,52
516,2019-01-17,09:30:00,61
517,2019-01-17,09:45:00,57
518,2019-01-17,10:00:00,71
519,2019-01-17,10:15:00,84
520,2019-01-17,10:30:00,68
521,2019-01-17,10:45:00,34
522,2019-01-17,11:00:00,55
523,2019-01-17,11:15:00,73
524,2019-01-17,11:30:00,90
525,2019-01-17,11:45:00,60
526,2019-01-17,12:00:00,81
527,2019-01-17,12:15:00,92
528,2019-01-17,12:30:00,75
529,2019-01-17,12:45:00,75
530,2019-01-17,13:00:00,76
531,2019-01-17,13:15:00,86
532,2019-01-17,13:30:00,60
533,2019-01-17,13:45:00,61
534,2019-01-17,14:00:00,61
535,2019-01-17,14:15:00,73
536,2019-01-17,14:30:00,54
537,2019-01-17,14:45:00,49
538,2019-01-17,15:00:00,54
539,2019-01-17,15:15:00,45
540,2019-01-17,15:30:00,48
541,2019-01-17,15:45:00,38
542,2019-01-17,16:00:00,39
543,2019-01-17,16:15:00,33
544,2019-01-17,16:30:00,43
545,2019-01-17,16:45:00,34
546,2019-01-17,17:00:00,30
547,2019-01-17,17:15:00,39
548,2019-01-17,17:30:00,31
549,2019-01-17,17:45:00,19
550,2019-01-17,18:00:00,11
551,2019-01-17,18:15:00,12
552,2019-01-17,18:30:00,11
553,2019-01-17,18:45:00,3
554,2019-01-17,19:00:00,9
555,2019-01-17,19:15:00,13
556,2019-01-17,19:30:00,12
557,2019-01-17,19:45:00,5
558,2019-01-17,20:00:00,5
559,2019-01-17,20:15:00,4
560,2019-01-17,20:30:00,6
561,2019-01-18,06:45:00,4
562,2019-01-18,07:00:00,9
563,2019-01-18,07:15:00,11
564,2019-01-18,07:30:00,18
565,2019-01-18,07:45:00,19
566,2019-01-18,08:00:00,25
567,2019-01-18,08:15:00,39
568,2019-01-18,08:30:00,22
569,2019-01-18,08:45:00,21
570,2019-01-18,09:00:00,49
571,2019-01-18,09:15:00,42
572,2019-01-18,09:30:00,75
573,2019-01-18,09:45:00,34
574,2019-01-18,10:00:00,53
575,2019-01-18,10:15:00,78
576,2019-01-18,10:30:00,77
577,2019-01-18,10:45:00,38
578,2019-01-18,11:00:00,49
579,2019-01-18,11:15:00,70
580,2019-01-18,11:30:00,82
581,2019-01-18,11:45:00,51
582,2019-01-18,12:00:00,55
583,2019-01-18,12:15:00,93
584,2019-01-18,12:30:00,93
585,2019-01-18,12:45:00,53
586,2019-01-18,13:00:00,69
587,2019-01-18,13:15:00,68
588,2019-01-18,13:30:00,67
589,2019-01-18,13:45:00,50
590,2019-01-18,14:00:00,44
591,2019-01-18,14:15:00,50
592,2019-01-18,14:30:00,34
593,2019-01-18,14:45:00,33
594,2019-01-18,15:00:00,37
595,2019-01-18,15:15:00,22
596,2019-01-18,15:30:00,28
597,2019-01-18,15:45:00,18
598,2019-01-18,16:00:00,19
599,2019-01-18,16:15:00,16
600,2019-01-18,16:30:00,15
601,2019-01-18,16:45:00,13
602,2019-01-18,17:00:00,16
603,2019-01-18,17:15:00,25
604,2019-01-18,17:30:00,6
605,2019-01-18,17:45:00,8
606,2019-01-18,18:00:00,9
607,2019-01-18,18:15:00,4
608,2019-01-18,18:30:00,11
609,2019-01-18,18:45:00,7
610,2019-01-18,19:00:00,6
611,2019-01-18,19:15:00,5
612,2019-01-18,19:30:00,5
613,2019-01-18,19:45:00,2
614,2019-01-18,20:00:00,5
615,2019-01-18,20:15:00,1
616,2019-01-19,07:30:00,2
617,2019-01-19,08:00:00,2
618,2019-01-19,08:15:00,3
619,2019-01-19,08:30:00,5
620,2019-01-19,08:45:00,1
621,2019-01-19,09:00:00,1
622,2019-01-19,09:15:00,2
623,2019-01-19,09:30:00,2
624,2019-01-19,09:45:00,3
625,2019-01-19,10:15:00,1
626,2019-01-19,10:30:00,7
627,2019-01-19,10:45:00,2
628,2019-01-19,11:00:00,1
629,2019-01-19,11:15:00,6
630,2019-01-19,11:30:00,7
631,2019-01-19,11:45:00,14
632,2019-01-19,12:00:00,25
633,2019-01-19,12:15:00,10
634,2019-01-19,12:30:00,13
635,2019-01-19,12:45:00,9
636,2019-01-19,13:00:00,10
637,2019-01-19,13:15:00,5
638,2019-01-19,13:30:00,8
639,2019-01-19,13:45:00,8
640,2019-01-19,14:00:00,4
641,2019-01-19,14:15:00,11
642,2019-01-19,14:30:00,6
643,2019-01-19,14:45:00,8
644,2019-01-19,15:00:00,6
645,2019-01-19,15:15:00,7
646,2019-01-19,15:30:00,4
647,2019-01-19,15:45:00,8
648,2019-01-19,16:00:00,8
649,2019-01-19,16:15:00,6
650,2019-01-19,16:30:00,6
651,2019-01-19,16:45:00,2
652,2019-01-19,17:00:00,2
653,2019-01-19,17:15:00,3
654,2019-01-19,17:30:00,8
655,2019-01-19,18:00:00,1
656,2019-01-19,18:15:00,1
657,2019-01-19,18:30:00,2
658,2019-01-19,18:45:00,1
659,2019-01-19,19:00:00,2
660,2019-01-19,19:15:00,4
661,2019-01-19,19:30:00,2
662,2019-01-19,19:45:00,5
663,2019-01-19,20:00:00,3
664,2019-01-19,20:15:00,2
665,2019-01-22,07:00:00,5
666,2019-01-22,07:15:00,7
667,2019-01-22,07:30:00,12
668,2019-01-22,07:45:00,19
669,2019-01-22,08:00:00,24
670,2019-01-22,08:15:00,22
671,2019-01-22,08:30:00,24
672,2019-01-22,08:45:00,20
673,2019-01-22,09:00:00,28
674,2019-01-22,09:15:00,57
675,2019-01-22,09:30:00,52
676,2019-01-22,09:45:00,57
677,2019-01-22,10:00:00,62
678,2019-01-22,10:15:00,84
679,2019-01-22,10:30:00,75
680,2019-01-22,10:45:00,47
681,2019-01-22,11:00:00,54
682,2019-01-22,11:15:00,74
683,2019-01-22,11:30:00,91
684,2019-01-22,11:45:00,67
685,2019-01-22,12:00:00,66
686,2019-01-22,12:15:00,84
687,2019-01-22,12:30:00,98
688,2019-01-22,12:45:00,79
689,2019-01-22,13:00:00,77
690,2019-01-22,13:15:00,74
691,2019-01-22,13:30:00,57
692,2019-01-22,13:45:00,52
693,2019-01-22,14:00:00,70
694,2019-01-22,14:15:00,54
695,2019-01-22,14:30:00,55
696,2019-01-22,14:45:00,52
697,2019-01-22,15:00:00,42
698,2019-01-22,15:15:00,53
699,2019-01-22,15:30:00,65
700,2019-01-22,15:45:00,38
701,2019-01-22,16:00:00,46
702,2019-01-22,16:15:00,41
703,2019-01-22,16:30:00,56
704,2019-01-22,16:45:00,43
705,2019-01-22,17:00:00,31
706,2019-01-22,17:15:00,38
707,2019-01-22,17:30:00,41
708,2019-01-22,17:45:00,30
709,2019-01-22,18:00:00,27
710,2019-01-22,18:15:00,11
711,2019-01-22,18:30:00,11
712,2019-01-22,18:45:00,11
713,2019-01-22,19:00:00,12
714,2019-01-22,19:15:00,6
715,2019-01-22,19:30:00,22
716,2019-01-22,19:45:00,11
717,2019-01-22,20:00:00,6
718,2019-01-22,20:15:00,1
719,2019-01-22,20:30:00,5
720,2019-01-22,20:45:00,6
721,2019-01-23,06:45:00,2
722,2019-01-23,07:00:00,8
723,2019-01-23,07:15:00,12
724,2019-01-23,07:30:00,13
725,2019-01-23,07:45:00,20
726,2019-01-23,08:00:00,28
727,2019-01-23,08:15:00,28
728,2019-01-23,08:30:00,24
729,2019-01-23,08:45:00,18
730,2019-01-23,09:00:00,41
731,2019-01-23,09:15:00,60
732,2019-01-23,09:30:00,68
733,2019-01-23,09:45:00,37
734,2019-01-23,10:00:00,46
735,2019-01-23,10:15:00,68
